Time (days since 0000-01-01 00:00:00),Longwave (W/m^2),Shortwave (W/m^2),Latent (W/m^2),Sensible (W/m^2),Wind Stress u (N/m^2),Wind Stress v (N/m^2),Wind Speed 10m u (m/s),Wind Speed 10m v (m/s),Precipitation (kg/m^2/s)
733728.875,-7.7,0,-4.958527778,0.911805556,0,0,-5.4,2,0
733728.9167,-5.7,0,-4.36175,1.543527778,0,0,-6,2.4,0
733728.9583,-3.2,0,-3.480638889,2.556666667,-0.1,0,-6.3,3,0
733729,-3.4,0,-1.625388889,4.144861111,-0.1,0,-6,3.8,0
733729.0417,-1.2,0,1.15075,6.457944444,-0.1,0.1,-5.3,4.8,0
733729.0833,1.1,0,4.428194444,8.935305556,0,0.1,-4.2,5.8,0
733729.125,4,0,7.250222222,10.62947222,0,0.1,-3.4,6.7,0
733729.1667,4.9,0,9.159666667,11.32519444,0,0.1,-3.3,7.5,0
733729.2083,0.8,0,11.16119444,11.90311111,0,0.1,-4,7.9,0
733729.25,1.1,0,14.73366667,13.63591667,-0.1,0.1,-4.7,9.1,0
733729.2917,3.7,0,22.15586111,20.75486111,-0.1,0.2,-3.9,10.6,0
733729.3333,4.8,0,29.69316667,29.05997222,-0.1,0.2,-3.8,10.8,0
733729.375,7.3,0,33.67633333,33.72241667,-0.1,0.3,-4.5,11.2,0
733729.4167,7.7,0,36.58927778,38.03736111,-0.1,0.3,-5.2,11.9,0
733729.4583,7.1,0,40.08369444,43.45383333,-0.2,0.4,-5.8,12.4,0
733729.5,8.7,1.5,43.83797222,51.23769444,-0.2,0.5,-5.8,13.6,0
733729.5417,8.4,18.6,43.80491667,59.67744444,-0.2,0.6,-5.6,14.4,0
733729.5833,-0.2,59.2,40.07941667,67.63102778,-0.3,0.6,-5.5,14.8,0
733729.625,-14.9,114.4,36.00963889,75.62986111,-0.3,0.7,-5.2,15.2,0
733729.6667,-31.9,131.3,33.84833333,78.68016667,-0.2,0.7,-5.1,15.5,0
733729.7083,-21.6,85.6,36.30313889,79.43491667,-0.2,0.7,-5,15.9,0
733729.75,3.2,19.5,38.42341667,77.87825,-0.2,0.7,-4.8,16,0
733729.7917,7.4,2.4,38.52380556,68.04963889,-0.2,0.7,-4.5,16.2,0
733729.8333,6.1,0.1,30.83411111,63.74586111,-0.2,0.7,-3.4,16,0
733729.875,-4,0,16.91636111,51.51833333,-0.1,0.6,-1.5,15.5,0
733729.9167,-36.7,0,-4.430916667,36.18722222,0,0.6,0.4,15.3,0
733729.9583,-66.3,0,-30.31991667,23.40977778,0,0.5,1.6,15.1,0
733730,-81.7,0,-51.10436111,13.14238889,0.1,0.5,1.5,14.3,0
733730.0417,-91.8,0,-60.76713889,6.536416667,0.1,0.5,0.7,14.5,0
733730.0833,-89.7,0,-64.23830556,2.46375,0,0.4,0.4,15,0
733730.125,-96.1,0,-67.48941667,-0.813166667,0,0.4,0.9,15.6,0
733730.1667,-97.9,0,-78.02594444,-3.898083333,0,0.5,1.3,15.9,0
733730.2083,-95.2,0,-88.00091667,-7.565166667,0,0.5,1.6,16.5,0
733730.25,-92.4,0,-92.12883333,-10.50641667,0,0.6,1.5,16.4,0
733730.2917,-85.2,0,-122.6605556,-30.06477778,0.1,0.7,1.4,16.1,0
733730.3333,-82.5,0,-124.3514444,-31.41688889,0.1,0.7,1.4,15.7,0
733730.375,-87.6,0,-122.0166389,-32.36838889,0.1,0.6,1.8,15.3,0
733730.4167,-86.7,0,-120.3296944,-33.25161111,0.1,0.6,3.4,15.4,0
733730.4583,-77.2,0,-120.0913056,-33.78261111,0.1,0.6,3.9,14.9,0
733730.5,-74.4,3.7,-118.8172222,-36.04352778,0.1,0.6,4.5,14.3,0
733730.5417,-80.6,45.2,-111.6074167,-41.5745,0.2,0.5,5.7,12.6,0
733730.5833,-84.8,102.6,-108.0364722,-49.79666667,0.2,0.4,6.8,10.8,0
733730.625,-84.2,140.5,-106.1512222,-59.43016667,0.2,0.3,7.7,9.2,0
733730.6667,-95.6,160.2,-106.1491111,-68.96177778,0.2,0.2,8.8,7.5,0
733730.7083,-98,136.9,-108.8704444,-79.64444444,0.2,0.1,9.6,6.1,0
733730.75,-98.1,89.5,-118.9038333,-93.59905556,0.2,0.1,10.2,5.7,0
733730.7917,-66.1,22.4,-156.6013056,-133.4264444,0.3,0.2,10.6,5.7,0
733730.8333,-60.2,0.4,-171.6887222,-151.0936667,0.3,0.2,11,5.5,0
733730.875,-58.2,0,-184.2681389,-167.8093889,0.3,0.2,11.4,5.3,0
733730.9167,-62.3,0,-197.571,-184.73675,0.4,0.2,12.4,4.1,0
733730.9583,-65.2,0,-209.478,-198.4289722,0.4,0.1,12.5,3.4,0
733731,-72.6,0,-216.1871389,-203.0890278,0.4,0.1,12.5,2.5,0
733731.0417,-82.7,0,-216.1344722,-196.6003889,0.4,0.1,12.2,1.8,0
733731.0833,-90.6,0,-211.9768611,-183.0596667,0.4,0.1,12,1.6,0
733731.125,-98.8,0,-208.3364444,-167.9670278,0.4,0.1,12,1.9,0
733731.1667,-98,0,-204.0331389,-153.7194167,0.3,0.1,12,2.3,0
733731.2083,-105.7,0,-200.2354167,-142.4298889,0.3,0.1,12,2.7,0
733731.25,-104.2,0,-194.4744167,-130.8789167,0.3,0.1,11.8,3.1,0
733731.2917,-102,0,-174.9854444,-107.3775556,0.3,0.1,11.6,3.6,0
733731.3333,-99.3,0,-168.3289722,-97.07508333,0.3,0.1,11.5,4.3,0
733731.375,-87.1,0,-164.2916111,-91.40069444,0.3,0.1,11.4,4.8,0
733731.4167,-92.7,0,-160.459,-87.9235,0.3,0.2,11.3,5.2,0
733731.4583,-85.6,0,-154.5315,-83.81241667,0.3,0.2,11,5.3,0
733731.5,-89.3,3,-145.2635556,-81.28338889,0.3,0.1,10.7,5.5,0
733731.5417,-90.7,42.4,-135.9554722,-80.63175,0.3,0.1,10.4,5.7,0
733731.5833,-83.5,90.4,-128.85275,-80.29275,0.3,0.1,10.1,5.9,0
733731.625,-75.8,106.1,-124.7242222,-78.82141667,0.2,0.1,9.6,5.9,0
733731.6667,-64.4,100.6,-120.906,-75.71636111,0.2,0.1,9,5.7,0
733731.7083,-53.7,67.1,-116.5607778,-71.72786111,0.2,0.1,8.7,5.5,0
733731.75,-48.9,36.6,-113.33625,-68.50141667,0.2,0.1,8.5,5.3,0
733731.7917,-46.4,12.9,-117.9009444,-67.88177778,0.2,0.1,8.2,5.2,0
733731.8333,-45.5,0.2,-114.6464444,-65.96052778,0.2,0.1,8,5.2,0
733731.875,-43.4,0,-112.6390833,-65.95627778,0.2,0.1,8,5.3,0
733731.9167,-46.1,0,-112.2556111,-67.05236111,0.2,0.1,8,5.8,0
733731.9583,-45.6,0,-111.5018333,-67.92825,0.2,0.1,8,5.8,0
733732,-44.5,0,-110.6898889,-68.48483333,0.1,0.1,7.9,5.8,0
733732.0417,-43.7,0,-109.4418333,-67.92636111,0.1,0.1,7.6,5.8,0
733732.0833,-44.1,0,-107.9728056,-67.29794444,0.1,0.1,7.4,5.9,0
733732.125,-44.3,0,-106.5466389,-66.09827778,0.1,0.1,7.3,6,0
733732.1667,-42.4,0,-105.6808333,-64.76252778,0.1,0.1,7.3,6.1,0
733732.2083,-41.5,0,-104.3709722,-62.77891667,0.1,0.1,7.4,5.9,0
733732.25,-42.4,0,-102.2711944,-60.20697222,0.1,0.1,7.4,5.6,0
733732.2917,-42.5,0,-97.19572222,-56.90683333,0.1,0.1,7.2,5.3,0
733732.3333,-42.4,0,-91.46838889,-52.73697222,0.1,0.1,6.8,5.2,0
733732.375,-39,0,-86.33202778,-49.93936111,0.1,0.1,6.3,5.2,0
733732.4167,-42.1,0,-81.97825,-47.91002778,0.1,0.1,6.2,5.5,0
733732.4583,-44.6,0,-78.33230556,-46.45244444,0.1,0.1,5.5,5.8,0
733732.5,-46.5,1.8,-76.30138889,-46.08597222,0.1,0.1,4.6,6.5,0
733732.5417,-54.8,31.5,-75.73061111,-46.31588889,0.1,0.1,4,7.2,0
733732.5833,-60.2,78.1,-77.03313889,-47.56558333,0.1,0.1,3.7,7.8,0
733732.625,-67,114.9,-78.79688889,-48.76741667,0.1,0.1,3.5,8.2,0
733732.6667,-83.5,143,-80.11166667,-49.54538889,0.1,0.1,3.4,8.4,0
733732.7083,-88.1,129.6,-80.01341667,-49.04452778,0.1,0.2,3.4,8.4,0
733732.75,-84.1,87.3,-79.25872222,-47.78511111,0,0.2,3.2,8.5,0
733732.7917,-90.2,31.9,-78.60713889,-47.94533333,0.1,0.2,2.9,8.5,0
733732.8333,-102,0.4,-75.65136111,-44.84266667,0.1,0.2,2.7,8.5,0
733732.875,-108.1,0,-73.33827778,-42.389,0,0.2,2.4,8.7,0
733732.9167,-111.2,0,-73.31836111,-41.80919444,0,0.2,1,9.5,0
733732.9583,-111.7,0,-76.33169444,-42.69383333,0,0.2,0.7,10.1,0
733733,-110.7,0,-78.60622222,-43.97080556,0,0.2,1.1,10.2,0
733733.0417,-114.1,0,-77.95313889,-43.49055556,0,0.2,1.8,9.9,0
733733.0833,-112.7,0,-74.96611111,-41.78927778,0.1,0.2,2.3,9.4,0
733733.125,-108.6,0,-70.64016667,-39.18675,0,0.2,2.4,9.2,0
733733.1667,-108.5,0,-67.43158333,-37.32263889,0,0.2,2.5,8.9,0
733733.2083,-107.3,0,-64.99025,-35.83066667,0,0.2,2.2,8.6,0
733733.25,-107.2,0,-63.65255556,-34.81469444,0,0.2,1.7,8.7,0
733733.2917,-89.2,0,-67.49097222,-38.17669444,0,0.2,1.3,9.1,0
733733.3333,-93.9,0,-69.63358333,-39.77011111,0,0.2,1.5,9.5,0
733733.375,-85,0,-73.22838889,-42.46344444,0,0.2,2,9.7,0
733733.4167,-69.8,0,-76.36963889,-45.3165,0,0.2,2.1,10,0
733733.4583,-71.3,0,-77.56658333,-46.33105556,0,0.2,2.1,10.1,0
733733.5,-72.1,2,-79.33461111,-47.29963889,0,0.2,2.5,10.3,0
733733.5417,-72.3,33.7,-82.47219444,-50.93613889,0.1,0.2,3.5,10.4,0
733733.5833,-56.7,67.8,-86.14536111,-55.60544444,0.1,0.2,4.2,9.9,0
733733.625,-46,86.6,-87.90480556,-57.19697222,0.1,0.2,4.7,9.2,0
733733.6667,-45.1,87.4,-85.93725,-55.43502778,0.1,0.2,4.7,8.2,0
733733.7083,-45.6,77.6,-81.76186111,-52.78344444,0.1,0.1,4.6,7.5,0
733733.75,-42.8,43.2,-80.88258333,-52.54377778,0.1,0.1,4.5,7.7,0
733733.7917,-36.1,10.8,-82.87922222,-54.67766667,0.1,0.1,4.5,7.3,0
733733.8333,-35.9,0.1,-81.06194444,-51.91702778,0.1,0.1,4.6,6.8,0
733733.875,-39,0,-76.11563889,-48.26747222,0.1,0.1,4.6,6,0
733733.9167,-42.7,0,-69.94697222,-44.05947222,0.1,0.1,5,5.2,0
733733.9583,-52.1,0,-64.42561111,-41.2225,0.1,0.1,4.8,4.4,0
733734,-56.4,0,-58.90027778,-37.99158333,0,0,4.6,3.3,0
733734.0417,-65.3,0,-54.56361111,-34.81516667,0,0,4.3,2.2,0
733734.0833,-58.9,0,-51.75991667,-32.89533333,0,0,4,1.2,0
733734.125,-58.3,0,-49.36816667,-31.51644444,0,0,3.6,0.4,0
733734.1667,-59.3,0,-47.48722222,-30.30658333,0,0,3.5,-0.5,0
733734.2083,-63.8,0,-47.598,-29.90002778,0,0,3.5,-1.4,0
733734.25,-73.4,0,-48.77322222,-30.12144444,0,0,3.6,-2.2,0
733734.2917,-63.3,0,-51.56375,-31.60155556,0,0,3.9,-3,0
733734.3333,-67,0,-56.93730556,-34.50866667,0,0,4,-3.7,0
733734.375,-67.6,0,-61.73486111,-37.09436111,0,0,3.9,-4.4,0
733734.4167,-63.1,0,-65.75108333,-38.81411111,0,0,3.8,-4.9,0
733734.4583,-65.5,0,-69.42486111,-40.68322222,0,-0.1,3.7,-5.4,0
733734.5,-63.6,1.3,-72.98019444,-43.54033333,0,-0.1,3.9,-5.7,0
733734.5417,-67.3,28.2,-77.51180556,-47.43616667,0.1,-0.1,4.3,-6,0
733734.5833,-68.9,69.1,-83.51855556,-52.61180556,0.1,-0.1,4.9,-6.3,0
733734.625,-64.2,93.7,-91.14858333,-58.04488889,0.1,-0.1,5.6,-6.5,0
733734.6667,-69.3,103.4,-99.47975,-63.13163889,0.1,-0.1,6.3,-6.6,0
733734.7083,-72,96.7,-106.4453611,-67.73980556,0.1,-0.1,6.8,-6.2,0
733734.75,-74.5,62.5,-109.7102222,-70.9155,0.1,-0.1,7.3,-5.8,0
733734.7917,-85.1,23,-112.0429167,-73.68963889,0.1,-0.1,7.4,-5.3,0
733734.8333,-90.1,0.2,-109.5278333,-72.09361111,0.1,-0.1,7.4,-4.2,0
733734.875,-92.6,0,-105.7166389,-69.20025,0.1,-0.1,7.7,-3,0
733734.9167,-92.8,0,-104.6427222,-68.51280556,0.1,0,8.2,-1.2,0
733734.9583,-99,0,-106.8701389,-71.35522222,0.1,0,8.9,0.1,0
733735,-100.3,0,-113.5826389,-79.92486111,0.2,0,9.6,0.9,0
733735.0417,-103.3,0,-120.2675833,-90.47313889,0.2,0,10,1.1,0
733735.0833,-102.5,0,-124.0845833,-99.75986111,0.2,0,10,1,0
733735.125,-107.8,0,-124.1243611,-104.8937778,0.2,0,10,1.1,0
733735.1667,-101.8,0,-123.052,-106.8828333,0.2,0,9.5,1.3,0
733735.2083,-99.8,0,-121.5141111,-106.23025,0.2,0,9.3,1.4,0
733735.25,-90.8,0,-121.0746389,-104.6465556,0.2,0,9,1.5,0
733735.2917,-75.2,0,-111.83725,-93.76830556,0.2,0,8.8,1.4,0
733735.3333,-74,0,-110.1231111,-90.67177778,0.2,0,8.6,1.2,0
733735.375,-72.4,0,-109.4868333,-88.42175,0.1,0,8.3,0.9,0
733735.4167,-76.4,0,-105.9865833,-84.17533333,0.1,0,7.9,0.5,0
733735.4583,-75.5,0,-102.0676667,-80.08866667,0.1,0,7.5,0,0
733735.5,-76.7,0.8,-96.85419444,-74.94241667,0.1,0,7,-0.3,0
733735.5417,-72.4,22.4,-91.76680556,-70.00641667,0.1,0,6.3,-0.6,0
733735.5833,-69.2,55.8,-87.55775,-65.93258333,0.1,0,5.6,-1,0
733735.625,-70.1,73.1,-83.67863889,-62.89530556,0.1,0,5,-1.6,0
733735.6667,-68.8,84.5,-79.20608333,-59.27491667,0,0,4.3,-1.6,0
733735.7083,-72.5,74.5,-72.30413889,-53.87336111,0,0,3.5,-1.8,0
733735.75,-73.3,54.5,-64.79041667,-47.94841667,0,0,2.2,-2.2,0
733735.7917,-70.1,18.1,-54.17552778,-40.42675,0,0,1.1,-2.3,0
733735.8333,-67.9,0.1,-53.88419444,-40.43502778,0,0,-0.3,-2.9,0
733735.875,-68.2,0,-56.64838889,-41.75916667,0,0,-1.3,-3,0
733735.9167,-65.7,0,-61.27486111,-44.59802778,0,0,-2,-4.6,0
733735.9583,-59.6,0,-70.06633333,-50.24727778,0,0,-3.1,-5,0
733736,-61.2,0,-77.99566667,-54.42852778,0,0,-4.1,-5.2,0
733736.0417,-58,0,-88.79508333,-60.88375,-0.1,-0.1,-5.1,-6.1,0
733736.0833,-58.5,0,-103.4641667,-69.13219444,-0.1,-0.1,-6,-6.7,0
733736.125,-56.4,0,-118.06925,-76.48772222,-0.1,-0.1,-6.8,-7.1,0
733736.1667,-53.5,0,-131.5814722,-83.1705,-0.2,-0.2,-7.2,-7.6,0
733736.2083,-52.6,0,-142.0151944,-88.29919444,-0.2,-0.2,-7.7,-8.1,0
733736.25,-49.2,0,-148.5994167,-90.55113889,-0.3,-0.3,-8.1,-8.3,0
733736.2917,-46.8,0,-152.8345,-89.12911111,-0.3,-0.3,-8.4,-8.6,0
733736.3333,-47.6,0,-154.5210833,-89.34052778,-0.3,-0.3,-8.4,-9.1,0
733736.375,-46,0,-154.9752778,-86.75011111,-0.3,-0.3,-8.5,-9.7,0
733736.4167,-45.3,0,-155.5368889,-85.30461111,-0.3,-0.4,-8.1,-10.7,0
733736.4583,-44.4,0,-155.6216389,-84.61575,-0.3,-0.4,-8,-11.2,0
733736.5,-44.9,0.4,-153.8328056,-84.04875,-0.3,-0.4,-7.9,-12,0
733736.5417,-43.5,14.9,-153.9680833,-84.74636111,-0.4,-0.5,-7.7,-12.6,0
733736.5833,-44.6,35,-154.5915,-85.99227778,-0.4,-0.5,-7.6,-13,0
733736.625,-42.1,47.1,-154.8409167,-86.50216667,-0.4,-0.5,-7.9,-13.2,0
733736.6667,-43.1,43.5,-155.6051111,-88.30916667,-0.4,-0.5,-8.1,-13.1,0
733736.7083,-41,35.7,-160.79075,-93.81238889,-0.4,-0.6,-8,-13.3,0
733736.75,-40.7,23.6,-170.6790833,-101.1392222,-0.4,-0.6,-7.8,-13.7,0
733736.7917,-42.2,7.4,-177.6085833,-107.5548611,-0.4,-0.7,-7.4,-13.8,0
733736.8333,-41.2,0,-178.4951667,-109.2551944,-0.4,-0.7,-7,-14,0
733736.875,-41.5,0,-174.4152778,-112.3033333,-0.3,-0.7,-6.5,-14.5,0
733736.9167,-41.1,0,-173.7689167,-116.5905278,-0.3,-0.7,-5.3,-15.9,0
733736.9583,-41.3,0,-177.9556389,-118.8730556,-0.3,-0.8,-5,-16.3,0
733737,-41.3,0,-183.4825,-121.0507778,-0.2,-0.8,-4.7,-16.6,0
733737.0417,-41.2,0,-187.5155556,-123.0898333,-0.2,-0.9,-4.6,-16.9,0
733737.0833,-41.5,0,-190.1848889,-127.5233056,-0.2,-0.9,-4,-17,0
733737.125,-41.4,0,-197.0096944,-131.2437222,-0.1,-1,-2.5,-17.3,0
733737.1667,-42.4,0,-205.8538056,-134.7685833,-0.1,-1.1,-1,-17.5,0
733737.2083,-43,0,-211.1808333,-137.9385833,0,-1.1,0.6,-17.6,0
733737.25,-42.7,0,-213.1009444,-140.09075,0.1,-1.1,2.2,-17.6,0
733737.2917,-43.2,0,-220.7285278,-152.8831389,0.2,-1,3.5,-17.6,0
733737.3333,-47.8,0,-223.2264722,-162.1245556,0.3,-1.1,4.9,-17.3,0
733737.375,-50.1,0,-220.64375,-163.6551667,0.4,-1,6.3,-16.8,0
733737.4167,-53.5,0,-216.9249722,-160.0684167,0.4,-1,7.6,-15.9,0
733737.4583,-56.3,0,-214.6678889,-154.6002778,0.5,-0.9,9.1,-14.5,0
733737.5,-57,0.4,-210.0414167,-148.1557222,0.5,-0.8,10.2,-13.5,0
733737.5417,-59.1,15.7,-199.1529444,-146.28875,0.6,-0.7,10.9,-12.9,0
733737.5833,-60.8,45.3,-187.8005,-143.1763333,0.6,-0.7,11.1,-12.4,0
733737.625,-63.5,72.3,-176.9475,-137.3905556,0.6,-0.6,10.9,-12,0
733737.6667,-65.7,83.4,-172.2488056,-133.1273056,0.6,-0.6,10.9,-11.4,0
733737.7083,-71.3,82.5,-171.3257778,-133.4491944,0.6,-0.6,11.2,-11.2,0
733737.75,-73.9,52.8,-175.2810833,-138.5411667,0.7,-0.6,11.6,-11.5,0
733737.7917,-82.9,18.9,-167.4953056,-132.9945556,0.5,-0.5,12,-11.8,0
733737.8333,-85.1,0,-183.3258056,-140.9599722,0.6,-0.6,12.5,-11.6,0
733737.875,-89.2,0,-199.3136111,-145.25975,0.6,-0.6,12.8,-10.7,0
733737.9167,-91.9,0,-205.63925,-144.5905556,0.6,-0.5,13.1,-9,0
733737.9583,-99.5,0,-201.9994722,-140.8871944,0.6,-0.4,13.5,-7.2,0
733738,-106.8,0,-196.7471111,-139.9975833,0.5,-0.3,14,-5.8,0
733738.0417,-105.2,0,-192.767,-140.4308889,0.5,-0.2,14.1,-5,0
733738.0833,-110,0,-187.9528889,-140.8879167,0.5,-0.2,13.9,-4.6,0
733738.125,-113.1,0,-183.5271944,-142.1748333,0.5,-0.2,13.7,-4.2,0
733738.1667,-107,0,-179.7634167,-141.3748056,0.4,-0.1,13.4,-3.8,0
733738.2083,-112.5,0,-175.6094722,-138.9159167,0.4,-0.1,13,-3.2,0
733738.25,-115.3,0,-168.4813611,-133.7554722,0.4,-0.1,12.2,-2.5,0
733738.2917,-113.4,0,-147.9478611,-120.7321944,0.3,-0.1,11.3,-1.7,0
733738.3333,-113.4,0,-133.1866944,-109.1691389,0.3,0,10.2,-0.9,0
733738.375,-118.7,0,-118.0438611,-98.42861111,0.2,0,9.1,0.1,0
733738.4167,-115.9,0,-105.1079444,-88.67705556,0.1,0,7.8,0.7,0
733738.4583,-115.8,0,-94.93466667,-81.18997222,0.1,0,6.6,1.7,0
733738.5,-110.5,0.6,-85.76861111,-74.67383333,0.1,0,5.3,2.3,0
733738.5417,-109.1,30.1,-76.08380556,-67.16922222,0.1,0,3.7,2.4,0
733738.5833,-99.8,75.5,-64.42286111,-56.73141667,0,0,2.1,2,0
733738.625,-97.2,105.7,-52.09536111,-45.42366667,0,0,0.8,1.4,0
733738.6667,-87.5,102.3,-41.49177778,-36.23055556,0,0,-0.1,0.6,0
733738.7083,-83.7,83.2,-33.28702778,-29.3425,0,0,-0.7,-0.7,0
733738.75,-84.1,53.5,-33.59580556,-29.96641667,0,0,-1.1,-1.8,0
733738.7917,-76.8,14.9,-47.65922222,-41.62311111,0,0,-1.5,-2.8,0
733738.8333,-72.9,0,-53.98425,-46.56194444,0,0,-1.7,-3.3,0
733738.875,-76.5,0,-56.71113889,-47.82825,0,0,-1.4,-3.7,0
733738.9167,-75.6,0,-58.05863889,-48.2855,0,0,-1.1,-4.8,0
733738.9583,-82.6,0,-60.02313889,-49.15569444,0,0,-0.3,-5.4,0
733739,-91.8,0,-63.60080556,-51.60272222,0,0,0.2,-6,0
733739.0417,-97.9,0,-66.81888889,-53.62802778,0,-0.1,0.7,-6.4,0
733739.0833,-100.6,0,-70.19577778,-56.12483333,0,-0.1,1.2,-6.7,0
733739.125,-106.3,0,-72.77727778,-57.93891667,0,-0.1,1.6,-6.8,0
733739.1667,-105.6,0,-74.83544444,-58.83091667,0,-0.1,2.1,-6.8,0
733739.2083,-108.9,0,-78.40791667,-59.83883333,0,-0.1,2.6,-6.7,0
733739.25,-108.8,0,-81.40133333,-59.76488889,0,-0.1,3,-6.3,0
733739.2917,-113.3,0,-81.20425,-54.16375,0,-0.1,3.3,-5.9,0
733739.3333,-115.2,0,-79.81816667,-51.55244444,0,-0.1,3.6,-5.3,0
733739.375,-112,0,-76.6665,-48.31822222,0,-0.1,3.9,-4.3,0
733739.4167,-107,0,-72.39013889,-44.71891667,0,0,4,-3.1,0
733739.4583,-109.2,0,-68.95569444,-41.93008333,0,0,4,-2.6,0
733739.5,-110.3,0.4,-65.14266667,-38.84777778,0,0,4.3,-1.5,0
733739.5417,-107.7,30.8,-61.00677778,-36.91183333,0,0,4.5,-0.9,0
733739.5833,-109.6,84.2,-57.50927778,-36.14144444,0,0,4.5,0,0
733739.625,-96.7,115.2,-55.15336111,-36.92155556,0,0,4.4,0.6,0
733739.6667,-108.4,133.4,-54.74538889,-39.22422222,0,0,4.3,1.2,0
733739.7083,-102,120.3,-55.89858333,-41.63094444,0,0,4,1.6,0
733739.75,-93,68.6,-58.24686111,-44.83838889,0,0,3.7,2,0
733739.7917,-96.3,19.2,-55.37769444,-44.11611111,0,0,3.4,2.4,0
733739.8333,-84.7,0,-55.05602778,-44.31333333,0,0,3,2.3,0
733739.875,-90.9,0,-52.89994444,-42.26905556,0,0,2.7,2,0
733739.9167,-76.4,0,-50.73741667,-40.34472222,0,0,2,2,0
733739.9583,-70.3,0,-47.95180556,-37.69338889,0,0,1.8,1.8,0
733740,-71.8,0,-46.0935,-36.42922222,0,0,1.7,1.7,0
733740.0417,-72.5,0,-43.56402778,-34.67033333,0,0,1.3,1.6,0
733740.0833,-66.8,0,-40.85491667,-32.66919444,0,0,0.8,1.2,0
733740.125,-61.3,0,-38.65352778,-30.91719444,0,0,0.3,0.4,0
733740.1667,-59.1,0,-37.68030556,-30.40588889,0,0,-0.2,-0.4,0
733740.2083,-63.3,0,-36.99902778,-30.03302778,0,0,-0.9,-1.3,0
733740.25,-62.8,0,-37.00852778,-30.17666667,0,0,-2,-2.2,0
733740.2917,-58.4,0,-45.80763889,-37.25105556,0,0,-3,-2.9,0
733740.3333,-56.7,0,-53.37430556,-42.61655556,0,0,-4,-3.4,0
733740.375,-55,0,-60.23677778,-47.46958333,-0.1,0,-5,-3.5,0
733740.4167,-52.1,0,-65.29569444,-51.23219444,-0.1,0,-6.6,-4,0
733740.4583,-51,0,-69.59563889,-54.21519444,-0.1,-0.1,-7,-3.7,0
733740.5,-49.4,0.1,-74.06666667,-55.28330556,-0.1,-0.1,-7.1,-3.6,0
733740.5417,-51.4,13,-78.37455556,-56.16133333,-0.1,-0.1,-7.1,-4.1,0
733740.5833,-53.4,35.5,-82.72438889,-57.20836111,-0.1,-0.1,-6.7,-5,0
733740.625,-54.3,54.5,-85.52347222,-57.41222222,-0.1,-0.1,-6.2,-6.2,0
733740.6667,-53.9,56.9,-89.39402778,-58.958,-0.1,-0.1,-5.6,-7.5,0
733740.7083,-57.2,49.4,-93.985,-63.09608333,-0.1,-0.2,-4.8,-9,0
733740.75,-56.1,33.7,-100.4214444,-69.8355,-0.1,-0.2,-3.8,-10.4,0
733740.7917,-57.3,10.1,-113.6300833,-83.34163889,-0.1,-0.3,-2.6,-11.6,0
733740.8333,-61.2,0,-121.1303333,-91.22505556,-0.1,-0.4,-1.6,-12.3,0
733740.875,-60.6,0,-125.3158056,-97.48233333,0,-0.5,-0.4,-12.8,0
733740.9167,-62.1,0,-130.6067222,-102.0274444,0,-0.5,2.3,-13.4,0
733740.9583,-66.6,0,-143.0759167,-108.8417778,0.1,-0.5,3.6,-14.2,0
733741,-70.4,0,-163.2841111,-121.6946111,0.2,-0.6,4.7,-14.9,0
733741.0417,-79.1,0,-185.8102778,-139.4367222,0.2,-0.7,5.6,-15.4,0
733741.0833,-83.7,0,-208.1745278,-158.2536111,0.3,-0.8,6.8,-15.6,0
733741.125,-90.7,0,-224.5134167,-170.2876944,0.4,-0.9,8,-15.1,0
733741.1667,-95.2,0,-243.2020556,-176.94675,0.5,-0.9,9.1,-14.3,0
733741.2083,-95.5,0,-247.6452222,-181.8144722,0.5,-0.8,9.7,-13.7,0
733741.25,-101.2,0,-237.4915556,-181.5511389,0.5,-0.7,9.9,-13.1,0
733741.2917,-103.3,0,-230.8163889,-177.6538611,0.5,-0.6,10.3,-12.5,0
733741.3333,-113.5,0,-226.1066667,-175.4972222,0.5,-0.6,11.3,-11.6,0
733741.375,-106.4,0,-221.0605833,-176.3764167,0.6,-0.5,12.6,-10.3,0
733741.4167,-105.8,0,-218.4870556,-179.5921944,0.6,-0.4,14.1,-9.1,0
733741.4583,-106.8,0,-217.0682222,-180.94025,0.7,-0.4,14.4,-8.3,0
733741.5,-109,0.1,-215.1067778,-179.1373056,0.7,-0.4,14.4,-7.8,0
733741.5417,-108.9,24.8,-213.2169444,-176.6087222,0.7,-0.3,14.5,-7.2,0
733741.5833,-112.5,73.5,-212.2483056,-175.7126944,0.7,-0.3,14.8,-6.7,0
733741.625,-110.7,117.9,-210.5369167,-175.4431667,0.7,-0.3,14.8,-6.3,0
733741.6667,-112.3,125.9,-208.091,-174.5210556,0.7,-0.3,14.6,-6.1,0
733741.7083,-107.5,110.3,-202.1420833,-169.1816389,0.6,-0.3,14.1,-5.8,0
733741.75,-109.3,70.8,-193.6423056,-161.3264444,0.6,-0.2,13.8,-5.2,0
733741.7917,-116.2,19.7,-185.4005,-156.0889167,0.5,-0.2,13.7,-4.5,0
733741.8333,-114.2,0,-179.1146111,-152.8620278,0.5,-0.2,13.4,-3.8,0
733741.875,-113.2,0,-168.6218611,-145.2523889,0.4,-0.1,12.8,-3.3,0
